OBJECTID,w_geocode,h_geocode,O_X,O_Y,D_X,D_Y
87,080130122021021,080590103082010,476707.360500000009779,4429999.941300000064075,491533.565899999986868,4405163.740799999795854
88,080130122021021,080590117204004,476707.360500000009779,4429999.941300000064075,487124.262300000002142,4394337.534400000236928
89,080130122021021,080590117321002,476707.360500000009779,4429999.941300000064075,487231.325599999981932,4397105.166100000031292
90,080130122021021,080590120262012,476707.360500000009779,4429999.941300000064075,472742.563699999998789,4386633.168700000271201
91,080130122021021,080590120513013,476707.360500000009779,4429999.941300000064075,493861.625999999989290,4382062.141900000162423
92,080130122021021,080590120531011,476707.360500000009779,4429999.941300000064075,494696.759699999995064,4380961.354500000365078
93,080130122021021,080590120551004,476707.360500000009779,4429999.941300000064075,492930.955699999991339,4381142.566899999976158
94,080130122021021,080590605001012,476707.360500000009779,4429999.941300000064075,492654.178899999998976,4416123.765800000168383
95,080130122021021,080690018081001,476707.360500000009779,4429999.941300000064075,482682.478000000002794,4481393.438299999572337
96,080130122021021,080690019021010,476707.360500000009779,4429999.941300000064075,490825.204299999983050,4474275.703300000168383
97,080130122021021,080690019023011,476707.360500000009779,4429999.941300000064075,490877.154399999999441,4473279.970900000073016
98,080130122021021,081230014161057,476707.360500000009779,4429999.941300000064075,518983.090399999986403,4475622.554800000041723
